Indicator_cases,Country,Date,cases,Indicator_deaths,deaths
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-12,3597.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2392.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-13,3599.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2391.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-14,3615.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2399.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-15,3619.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2401.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-18,3626.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2405.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-19,3635.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2407.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-20,3635.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2407.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-21,3649.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2409.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-22,3647.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2412.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-25,3640.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2418.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-26,3641.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2420.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-27,3641.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2420.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-28,3639.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2423.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-29,3644.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2425.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-01,3653.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2428.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-02,3652.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2429.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-03,3652.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2429.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-04,3657.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2431.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-05,3664.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2431.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-08,3669.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2435.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-09,3670.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2437.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-10,3670.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2437.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-11,3674.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2440.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-12,3677.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2440.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-15,3677.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2443.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-16,3678.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2444.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-17,3674.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2444.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-18,3675.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2445.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-19,3674.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2446.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-22,3698.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2456.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-23,3718.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2473.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-24,3718.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2473.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-25,3718.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2480.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-26,3720.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2480.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-29,3724.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2482.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-30,3729.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2482.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-01,3729.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2482.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-02,3745.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2490.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-03,3750.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2492.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-06,3744.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2498.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-07,3748.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2499.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-08,3748.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2499.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-09,3744.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2505.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-10,3751.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2505.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-13,3754.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2506.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-14,3760.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2506.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-15,3760.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2506.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-16,3762.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2506.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-17,3770.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2509.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-20,3784.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2511.0
