Indicator_cases,Country,Date,cases,Indicator_deaths,deaths
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-28,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-31,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-01,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-02,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-03,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-04,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-07,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-08,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-09,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-10,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-11,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-14,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-15,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-16,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-17,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-18,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-21,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-22,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-23,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-24,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-25,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-28,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-29,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-09-30,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-01,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-02,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-05,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-06,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-07,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-08,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-09,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-13,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-15,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-16,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-20,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-22,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-23,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-26,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-27,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-29,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-10-30,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-11-03,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-11-05,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-11-06,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-11-10,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-11-11,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-11-12,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-11-16,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-11-17,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-11-20,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-11-24,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-11-26,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-12-01,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-12-02,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-12-03,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-12-09,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-12-10,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-12-11,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-12-15,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-12-16,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-12-17,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-12-22,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-12-23,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-12-29,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2016-03-23,20.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-05,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-08,3.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-12,3.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-16,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-18,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-22,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-24,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-26,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-01,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-03,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-08,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-10,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-15,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-17,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-22,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-25,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-29,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-31,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-05,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-07,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-12,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-14,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-19,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-21,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-26,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-01,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-03,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-10,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-15,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-17,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-22,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-23,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-24,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-26,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-29,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-30,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-31,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-02,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-05,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-06,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-07,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-14,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-15,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-16,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-19,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-20,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-21,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-22,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-23,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-26,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-27,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-28,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-29,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-30,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-02,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-03,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-04,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-05,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-06,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-10,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-11,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-12,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-13,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-16,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-17,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-18,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-19,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-20,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-23,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-25,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-26,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-27,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-02,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-04,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-05,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-06,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-10,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-11,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-12,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-13,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-16,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-17,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-18,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-20,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-23,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-24,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-25,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-26,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-27,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-07,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-09,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-13,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-14,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-15,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-16,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-17,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-20,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-21,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-22,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-23,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-24,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-27,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-28,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-30,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-01,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-04,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-05,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-06,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-07,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-08,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-11,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-12,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-13,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-14,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-15,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-18,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-19,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-20,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-21,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-22,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-25,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-26,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-27,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-28,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-05-29,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",0.0
